,UMAP1,UMAP2
487,3.7561753,-3.825822
488,3.4935632,-3.6954045
489,3.5715165,-3.7500489
490,3.346936,-3.5938463
491,3.4234316,-3.756692
492,3.3522425,-3.6947858
493,3.307935,-3.7047617
494,3.4610317,-3.7721927
495,3.3775733,-3.722276
496,3.4700663,-3.9644787
497,3.4270756,-3.913824
498,3.4604313,-4.0221343
499,3.4073257,-3.8711014
500,3.2704542,-3.548959
501,3.2484033,-3.6151564
502,3.2126672,-3.704235
503,3.2344105,-3.7126815
504,3.2367656,-3.4834824
505,3.2656407,-3.6673696
506,3.25965,-3.6883764
507,3.2807732,-3.6928232
508,3.3035643,-3.6013625
509,3.2398365,-3.7347486
510,5.0400977,-3.8205595
511,5.067616,-3.848542
512,4.92467,-3.9240215
513,4.926796,-3.9690208
514,4.6973567,-3.9680798
515,4.5777764,-4.012694
516,4.491273,-4.004368
517,4.3993335,-4.004572
518,4.3611293,-3.9670942
519,4.421447,-4.034203
520,3.264881,-4.0775476
521,3.8118107,-3.926781
522,3.2408574,-4.0764637
523,4.453707,-4.072537
524,4.4082437,-4.050647
525,4.2730722,-3.9323292
526,4.1660347,-3.8702753
527,3.6503146,-3.7116094
528,1.144205,-3.1569545
529,0.08911359,-2.3212993
530,-0.76691,-2.0240524
531,-0.7282715,-2.0192008
532,-1.6355959,-1.6644044
533,-1.7198659,-1.6738518
534,-1.6157227,-1.6217086
535,-1.9233358,-1.5765222
536,-2.0546672,-1.5788261
537,-2.5750828,-1.120303
538,-2.7019362,-1.0150414
539,-2.7191737,-0.9836357
540,-2.995669,-0.82510275
541,-3.0972748,-0.8080261
542,-3.3549795,-0.59167266
543,-4.147372,-0.073278524
544,-4.3562465,-0.48238635
545,-4.2052093,0.5977111
546,-4.1313376,0.662389
547,-3.895652,-0.20822154
548,-4.247882,-0.424095
549,-4.564855,-0.42608157
550,-4.2296424,0.57150793
551,-4.4715714,-0.4959328
552,-4.366397,0.019929303
553,-5.070865,-0.22968557
554,-5.0614505,0.18413435
555,-4.4480486,0.8229202
556,-4.6529603,0.58543503
557,-4.266249,0.6985425
558,-6.102792,-0.3574726
559,-4.585492,0.7019258
560,-4.770801,0.0049521886
561,-6.3654857,0.38940164
562,-6.2178307,0.11871954
563,-5.287347,0.8046962
564,-5.801087,0.35053954
565,-5.480075,1.0606999
566,-4.808383,0.6883466
567,-5.0453863,1.2195592
568,-5.0181184,0.7619952
569,-4.985396,-0.20971599
570,-5.3199215,1.2432593
571,-6.166283,0.5030969
572,-4.5401564,0.6255895
573,-5.2160516,-0.24858417
574,-5.3971004,0.03567159
575,-5.0405965,1.1758718
576,-5.6933293,0.1968756
577,-6.2430735,0.48781767
578,-5.44166,-0.40393987
579,-5.6442146,0.21523593
580,-5.2919188,0.07713562
581,-5.5942426,0.03079767
582,-5.983383,0.438526
583,-4.805215,-0.020641373
584,-4.881986,0.5913576
585,-5.3321376,-0.32304206
586,-4.891866,-0.42769065
587,-6.3476725,0.41554314
588,-4.8057375,-0.25292277
589,-5.555869,0.3916854
590,-4.842026,0.031890027
591,-4.885233,0.030721368
592,-5.2310486,-0.17181917
593,-5.3216724,0.5783714
594,-5.2803774,-0.22742486
595,6.9068427,-5.5913363
596,6.993079,-5.557985
597,6.971651,-5.5358415
598,6.9397626,-5.4952517
599,6.7938175,-5.4993396
600,6.680629,-5.456615
601,6.8520293,-5.4830055
602,6.836301,-5.4916854
603,6.9102674,-5.4646273
604,0.45769903,-3.3512156
605,0.2000387,-3.1130624
606,0.07372344,-3.0461524
607,-0.8433766,-2.3850832
608,-1.0654008,-2.197694
609,-1.1727759,-2.1570427
610,-1.5723975,-2.0274837
611,-1.8353302,-1.834984
612,-1.8488249,-1.8102691
613,-2.0742736,-1.6800888
614,-2.3042483,-1.5043048
615,-1.4323653,-2.0337298
616,-2.2220428,-1.5197887
617,-2.1568441,-1.6186159
618,-2.105936,-1.6455662
619,-2.175102,-1.6237257
620,-2.3416445,-1.4896111
621,-2.310262,-1.5330261
622,-3.1696603,-1.0131305
623,-3.0325475,-1.0419647
624,-4.048807,-0.079103984
625,-3.3641317,-1.1318344
626,-3.6056268,-0.8714007
627,-3.7456076,-0.8796034
628,-4.212659,0.19325309
629,-4.228417,0.76209056
630,-4.894372,-0.19037284
631,-4.424827,0.25280538
632,-5.0240903,0.18000977
633,-5.468432,0.2543814
634,-4.555216,-0.029167604
635,-4.744576,0.77402574
636,-4.7531157,-0.121337585
637,-4.3984776,-0.035811216
638,-4.6705966,0.58494467
639,-4.8446183,-0.11593119
640,-4.5716105,-0.21209535
641,-4.1910844,-0.06453745
642,-5.2582235,-0.07078774
643,-4.647782,0.13383192
644,-4.7129893,0.6094912
645,-5.4227834,0.54230016
646,-5.5882635,0.037251312
647,-6.2129326,0.93640774
648,-5.0597324,0.3059049
649,-5.3320065,1.2734756
650,-5.809989,0.5981993
651,-6.2941136,0.010966445
652,-5.133335,0.4457905
653,-6.332163,-0.007726825
654,-5.759604,0.37226164
655,-6.1384435,1.0929487
656,-6.490195,0.44412845
657,-5.7559924,1.3495466
658,-6.3228865,1.0490546
659,-5.980495,-0.13620457
660,-5.8438253,0.90523726
661,-6.121983,0.33355904
662,-5.351584,0.6375338
663,-5.779369,1.3509098
664,-5.1893215,1.0726627
665,-5.439198,1.350003
666,-6.252176,0.17896886
667,-5.680305,1.4405298
668,-6.338794,1.0212991
669,-6.2631464,1.1439941
670,-5.7406497,0.20200121
671,-6.0076423,0.8890277
672,-5.807532,1.3151153
673,-5.9776945,0.7169108
674,-5.9301877,1.3497905
675,-5.613758,1.2268804
676,-5.7103868,0.11068182
677,-5.3307805,0.7739238
678,-6.2320004,0.16752458
679,-6.23451,1.0316676
680,2.338548,-2.5307982
681,1.8755399,-2.4274452
682,2.0207262,-2.3812869
683,2.201508,-2.4456694
684,2.3252726,-2.48901
685,2.4121706,-2.4258666
686,2.3666632,-2.4394412
687,2.3256085,-2.4532773
688,2.428411,-2.4320693
689,2.274528,-2.4077406
690,2.2801814,-2.472065
691,2.3753977,-2.5535579
692,2.8824832,-2.4819298
693,2.2835257,-2.536584
694,1.3966516,-2.4798026
695,1.5964314,-1.9958415
696,1.7053319,-1.9980834
697,1.6583241,-1.9320456
698,1.6193304,-1.9286327
699,0.7740742,-1.8333822
700,0.91573113,-1.8986261
701,0.676673,-1.7422978
702,-0.75885206,-1.3967794
703,-1.130197,-1.3246902
704,-1.387889,-1.3149153
705,-1.3029189,-1.3072777
706,-2.211099,-0.9739582
707,-2.0675156,-1.1113348
708,-2.9773412,-0.57334876
709,-3.0768552,-0.48673657
710,-3.0484078,-0.5416735
711,-3.5753458,-0.59658694
712,-3.5607505,-0.56994814
713,-3.314847,-0.4975719
714,-3.5375154,-0.267581
715,-4.056658,-0.23531862
716,-4.5847507,-0.22627617
717,-4.54598,0.12851787
718,-4.9234695,-0.30048043
719,-4.464232,-0.18765858
720,-5.5309467,-0.41665694
721,-4.893503,-0.10948752
722,-5.5879693,0.2691336
723,-5.3480706,1.3289735
724,-5.977049,-0.30197173
725,-5.086824,0.68170935
726,-6.1612525,-0.3565307
727,-5.497519,-0.2623739
728,-6.139248,-0.3661903
729,-6.1130366,-0.35660928
730,-5.183423,1.33422
731,-4.931444,0.14208257
732,-4.807708,0.2552594
733,-4.780428,0.7144393
734,-5.3872375,-0.1592068
735,-4.842609,0.1104352
736,-5.1461267,1.2142006
737,-5.656618,-0.13331729
738,-6.4446955,0.229746
739,-4.9161544,0.81502575
740,-5.640997,0.46358693
741,-5.6322527,0.51315856
742,-6.342732,0.41147286
743,-6.209214,0.539591
744,-4.9602838,0.7639733
745,-4.821607,0.11160182
746,-5.168467,0.46690935
747,-6.258788,0.90565455
748,-5.316394,0.43448442
749,-5.794316,0.74399203
750,-5.1742554,0.52668214
751,-5.8906817,0.48778895
752,-5.011949,0.8737231
753,-5.3944893,0.8792583
754,-5.4599185,0.5895563
755,-6.3252034,0.5822626
756,-6.018806,-0.07952372
757,-5.251866,0.9042312
758,-5.459472,0.9246207
759,-6.1418695,0.6666292
760,-5.495567,0.445623
761,-6.389841,0.9133441
762,-6.1951227,0.57601833
763,-5.777541,-0.007611948
764,-6.532244,0.36822587
765,4.6272483,-4.143878
766,4.6494393,-4.1961617
767,4.6311493,-4.172012
768,4.56312,-4.227286
769,4.37095,-4.2062044
770,4.2577796,-3.9432526
771,4.175898,-3.9750097
772,4.239148,-3.952934
773,4.2755523,-3.944109
774,4.2838144,-3.8528736
775,4.4295435,-4.0967827
776,4.0836115,-3.955778
777,4.0005355,-3.9383438
778,4.0127897,-3.9040298
779,2.7449262,-2.8330898
780,2.2417443,-2.516061
781,2.1701775,-2.3971367
782,1.9149171,-2.4134355
783,-1.0838586,-1.2709908
784,-1.1712521,-1.2297035
785,-1.4280804,-1.1842239
786,-1.324954,-1.1757352
787,-1.2094601,-1.2538078
788,-1.7914488,-0.94376886
789,-1.8281105,-0.9182956
790,-2.7637522,-0.6295962
791,-2.019802,-0.8880269
792,-2.2423513,-0.7784404
793,-2.0358672,-0.81850165
794,-2.0448966,-0.81690747
795,-2.0092304,-0.8399617
796,-3.5253074,-0.43325102
797,-3.5230663,-0.4521461
798,-3.4740605,-0.30077827
799,-3.6083887,-0.104938686
800,-5.038997,-0.40491253
801,-4.9445047,-0.36363584
802,-4.2670083,0.6100983
803,-5.513785,0.1988552
804,-5.4114456,0.28911397
805,-5.623482,0.6537052
806,-4.3753557,0.6654305
807,-4.2886767,0.8186919
808,-4.3613772,0.73122954
809,-5.5574155,-0.32889944
810,-4.630584,0.6831866
811,-5.505529,1.2087516
812,-4.5522604,0.8944033
813,-6.0443006,0.8017701
814,-5.0715055,-0.021151686
815,-4.7738023,0.9187981
816,-5.193099,1.0418901
817,-5.9372663,0.5680023
818,-5.9614396,0.6224164
819,-6.1941,1.11961
820,-6.089145,-0.26974165
821,-6.3579254,0.8247602
822,-6.408463,0.1745474
823,-6.0637126,-0.2386349
824,-5.793455,1.2553045
825,-5.7837906,0.76683277
826,-6.2602367,0.72129196
827,-6.350078,0.15941718
828,-5.581908,1.2884996
829,-5.11717,0.84765804
830,-6.3734326,0.95799404
831,-6.4003158,0.97026426
832,-5.326386,0.8652686
833,-5.426047,1.4024509
834,-6.175231,0.066870295
835,-6.1385055,1.2078779
836,-5.7604227,1.215914
837,-5.342157,1.0280939
838,-6.2928324,0.18640774
839,-5.3685513,1.0322089
840,-5.2503653,0.5201333
841,-5.8721304,-0.1765534
842,-6.2383323,-0.21713372
843,-5.712469,0.097410426
844,-5.8378,1.2741762
845,-5.351026,0.91070145
846,-5.527367,1.3114283
847,-5.9244742,0.17785156
848,-6.2592673,0.037867997
849,-6.0883856,0.11428036
850,1.9802427,-4.1949434
851,2.0408602,-4.207279
852,2.0344543,-4.248914
853,2.0494983,-4.209467
854,1.9818069,-4.2423124
855,1.9166653,-4.3170533
856,1.8197985,-4.3763814
857,1.4585823,-4.3732557
858,1.4777395,-4.407818
859,1.4737126,-4.4030704
860,1.5308615,-4.4722643
861,1.8295522,-4.7407393
862,1.8869246,-4.793676
863,1.6327711,-4.5871344
864,1.526831,-4.4681363
865,1.7175817,-4.496189
866,1.4643189,-4.430193
867,1.5727339,-4.4388304
868,1.6025422,-4.3751903
869,1.4482645,-4.3771205
870,0.6642573,-3.2784815
871,0.5253523,-2.9588013
872,0.37854782,-2.6094022
873,-0.17529882,-2.0354712
874,-0.05389725,-2.1236186
875,-0.69902253,-1.7695652
876,-0.7410476,-1.7421242
877,-0.87702924,-1.6537981
878,-0.8406324,-1.6595494
879,-1.5063884,-1.2304542
880,-1.3506794,-1.262253
881,-1.9275765,-1.080022
882,-2.0187016,-1.1158289
883,-2.152806,-1.0241044
884,-2.8265505,-0.66304463
885,-3.0203686,-0.46352538
886,-3.3410807,-0.33472055
887,-3.898233,-0.29746443
888,-3.3283625,-0.30476242
889,-4.202352,-0.29055536
890,-3.9144955,-0.38647628
891,-4.463404,0.34816098
892,-4.2642694,0.057384852
893,-3.98827,0.5449042
894,-4.3072777,0.6720318
895,-4.4070807,0.90077853
896,-5.240154,-0.43807328
