,UMAP1,UMAP2
415,-8.664832,-17.235008
416,-8.6328335,-17.22465
417,-8.599901,-17.196112
418,-8.589262,-17.20763
419,-8.591072,-17.125261
420,-8.549203,-17.191118
421,-8.644972,-17.15663
422,-8.648486,-17.119589
423,-8.6129055,-17.101095
424,-8.526815,-17.081337
425,-9.304374,-16.566166
426,-9.219991,-16.513977
427,-9.157456,-16.617113
428,-9.168669,-16.69267
429,-9.24177,-16.695292
430,-9.147183,-16.796911
431,-9.047423,-16.81856
432,-9.086063,-16.857256
433,-9.018871,-16.927774
434,-9.007489,-16.896086
435,-9.049831,-16.887993
436,-9.116863,-17.043879
437,-9.08148,-17.036182
438,-9.082566,-17.021063
439,-9.108335,-17.022236
440,-9.141565,-17.028164
441,-9.115802,-17.054989
442,-9.076847,-17.069714
443,-9.081559,-16.995
444,-9.140312,-17.021671
445,-9.109417,-17.03997
446,-9.218702,-17.207092
447,-9.253082,-17.228846
448,-9.317551,-17.153751
449,-9.37938,-16.683735
450,-9.364619,-17.262028
451,-9.355773,-17.251709
452,-9.469893,-16.672234
453,-9.340006,-16.562836
454,-9.443298,-16.739244
455,-9.158599,-16.63206
456,-9.446766,-16.558979
457,-9.521672,-16.700338
458,-9.481216,-16.705109
459,-9.561025,-16.728094
460,-9.52709,-16.749546
461,-9.477126,-16.764034
462,-9.36676,-17.359924
463,-9.340854,-17.230352
464,-9.377292,-17.313429
465,-9.30373,-17.38111
466,-9.31854,-17.37859
467,-9.287337,-17.373724
468,-9.261806,-17.450254
469,-9.264627,-17.455217
470,-9.116478,-17.52739
471,-9.248236,-17.43518
472,-9.267056,-17.454828
473,-9.222247,-17.458248
474,-9.31117,-17.43343
475,-9.310988,-17.424963
476,-9.380018,-17.318512
477,-9.343113,-17.360691
478,-9.328847,-17.384602
479,-9.347053,-17.06351
480,-9.301302,-17.03498
481,-9.279384,-16.973846
482,-9.323494,-17.0323
483,-9.248206,-16.934416
484,-9.2382,-16.959978
485,-9.405802,-17.004593
486,-9.493137,-16.418835
487,-9.517103,-16.51905
488,-9.435045,-16.450724
489,-9.37309,-16.538229
490,-9.380846,-16.60199
491,-9.429415,-16.567583
492,-9.391974,-16.600698
493,-9.421541,-16.601501
494,-9.425723,-16.511677
495,-9.394326,-16.45212
496,-9.443086,-16.474903
497,-9.431634,-16.504488
498,-9.371529,-16.462103
499,-9.309043,-16.488573
500,-9.452576,-16.54707
501,-9.468954,-16.613922
502,-9.573702,-16.423182
503,-9.581499,-16.441326
504,-9.3379545,-16.528896
505,-9.58475,-16.418814
506,-9.559958,-16.432108
507,-9.582984,-16.394903
508,-9.556599,-16.439465
509,-9.574007,-16.460398
510,-9.175627,-15.591045
511,-9.314176,-15.533942
512,-9.206228,-15.865275
513,-9.173416,-15.908458
514,-9.311809,-15.815769
515,-9.321742,-15.756732
516,-9.199755,-15.616846
517,-9.233064,-15.483749
518,-9.276968,-15.385419
519,-9.246108,-15.516437
520,-9.2567215,-15.39431
521,-9.378733,-15.357166
522,-9.2376375,-15.674832
523,-9.338392,-15.612349
524,-9.357041,-15.598179
525,-9.149487,-16.0947
526,-9.249802,-15.815958
527,-9.098837,-16.080872
528,-9.340955,-15.89659
529,-8.689411,-16.699846
530,-8.6671095,-16.666838
531,-9.32628,-15.646597
532,-8.587958,-16.626633
533,-8.654438,-16.75388
534,-9.202429,-15.589817
535,-8.798551,-15.491938
536,-8.354448,-16.1086
537,-7.9310646,-16.554085
538,-8.01873,-16.49476
539,-8.081608,-16.75583
540,-8.269319,-16.847086
541,-8.537542,-14.8399315
542,-8.303776,-17.301908
543,-8.365125,-17.068401
544,-8.383325,-17.162779
545,-8.3612175,-16.956549
546,-5.8117924,-13.5613985
547,-8.348107,-16.471317
548,-6.252122,-14.058648
549,-7.6564217,-16.380707
550,-7.665357,-16.305588
551,-7.7677755,-16.49378
552,-8.413178,-17.262745
553,-8.285159,-17.374405
554,-8.325283,-16.933771
555,-6.0987864,-16.552061
556,-7.3158364,-13.295977
557,-8.465921,-17.285452
558,-8.808816,-17.37571
559,-6.5988216,-14.838004
560,-7.173182,-14.763381
561,-8.366581,-14.170433
562,-6.5851526,-16.011177
563,-7.7569675,-14.984047
564,-5.1914873,-15.143514
565,-6.453663,-13.85474
566,-6.40081,-13.618608
567,-6.139439,-14.851332
